2015-12-01 16:19:01,245 INFO  - Starting HiveMQ Server
2015-12-01 16:19:01,295 INFO  - HiveMQ version: 3.0.2
2015-12-01 16:19:01,305 INFO  - HiveMQ home directory: D:\Wumin Share Data\自動化專案\台北自動化專案\hivemq-3.0.2
2015-12-01 16:19:02,816 WARN  - Could not open/create prefs root node Software\JavaSoft\Prefs at root 0x80000002. Windows RegCreateKeyEx(...) returned error code 5.
2015-12-01 16:19:08,221 INFO  - No valid license file found. Using evaluation license, restricted to 25 connections.
2015-12-01 16:19:11,178 INFO  - The HiveMQ cluster ID is 27d30952-106b-4c3c-b11b-d85593adbdfe
2015-12-01 16:19:11,628 INFO  - Loaded Plugin HiveMQ JMX Metrics Reporting Plugin - v3.0.0
2015-12-01 16:19:11,628 INFO  - Loaded Plugin HiveMQ Sys Topic Plugin - v3.0.0
2015-12-01 16:19:11,668 INFO  - JMX Metrics Reporting started.
2015-12-01 16:19:11,688 INFO  - Starting TCP listener on address 0.0.0.0 and port 1883
2015-12-01 16:19:11,848 INFO  - Started TCP Listener on address 0.0.0.0 and on port 1883
2015-12-01 16:19:11,848 INFO  - Started HiveMQ in 10575ms
